;id;name;image_path;type;region;country;winery;tastes;year
13971471;13971471;Château Pauque Sous la Roche Riesling 2014;Images_saved\img_25.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2014
159909639;159909639;Château Pauque Riesling Paradäis 2018;Images_saved\img_26.jpg;2;Moselle;Luxembourg;Château Pauque;[['citrus_fruit', 1, 100], ['earth', 1, 100]];2018
2485297;2485297;Bernard-Massard Cuvée de l'Écusson Brut;Images_saved\img_27.jpg;3;Moselle;Luxembourg;Bernard-Massard;[['tree_fruit', 141, 21100], ['citrus_fruit', 100, 11500], ['microbio', 86, 7527], ['earth', 69, 7696], ['non_oak', 61, 3955], ['oak', 57, 3770], ['vegetal', 17, 1170], ['red_fruit', 13, 1500], ['spices', 10, 282], ['tropical_fruit', 7, 700], ['floral', 4, 600], ['black_fruit', 1, 100]];N.V.
142285398;142285398;Château Pauque Sous la Roche Riesling 2016;Images_saved\img_28.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2016
2860113;2860113;Bernard-Massard Sélection Brut;Images_saved\img_29.jpg;3;Luxembourg;Luxembourg;Bernard-Massard;[['tree_fruit', 41, 5500], ['microbio', 31, 2761], ['citrus_fruit', 31, 3900], ['non_oak', 14, 751], ['oak', 10, 701], ['earth', 8, 718], ['vegetal', 5, 430], ['red_fruit', 5, 600], ['tropical_fruit', 4, 333], ['spices', 1, 6]];N.V.
158958145;158958145;Claude Bentz Bech-Mâcher Gottesgof Riesling 2017;Images_saved\img_30.jpg;2;Moselle;Luxembourg;Claude Bentz;[['tree_fruit', 8, 1900], ['citrus_fruit', 6, 800], ['earth', 6, 700], ['microbio', 5, 633], ['vegetal', 4, 400], ['oak', 4, 217], ['non_oak', 3, 150]];2017
161813290;161813290;Madame Aly Duhr & Fils Barrique Pinot Noir 2018;Images_saved\img_31.jpg;1;Moselle;Luxembourg;Madame Aly Duhr & Fils;;2018
27504357;27504357;Domaines Vinsmoselle Auxerrois 2014;Images_saved\img_32.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 9, 1100], ['microbio', 4, 310], ['earth', 4, 520], ['tropical_fruit', 2, 300], ['citrus_fruit', 2, 200], ['vegetal', 1, 10], ['black_fruit', 1, 100], ['non_oak', 1, 50], ['oak', 1, 10]];2014
154280707;154280707;Claude Bentz Bech-Mâcher Gottesgof Riesling 2016;Images_saved\img_33.jpg;2;Moselle;Luxembourg;Claude Bentz;[['tree_fruit', 8, 1900], ['citrus_fruit', 6, 800], ['earth', 6, 700], ['microbio', 5, 633], ['vegetal', 4, 400], ['oak', 4, 217], ['non_oak', 3, 150]];2016
3084750;3084750;Domaine Henri Ruppert Esprit de Schengen;Images_saved\img_34.jpg;3;Crémant de Luxembourg;Luxembourg;Domaine Henri Ruppert;[['tree_fruit', 6, 1000], ['citrus_fruit', 4, 400], ['earth', 3, 220], ['red_fruit', 2, 200], ['non_oak', 2, 167], ['oak', 2, 60], ['floral', 1, 100], ['vegetal', 1, 10], ['microbio', 1, 43]];N.V.
1269006;1269006;Poll Fabaire Cult Brut 2008;Images_saved\img_35.jpg;3;Crémant de Luxembourg;Luxembourg;Poll Fabaire;[['microbio', 4, 181], ['tree_fruit', 3, 300], ['citrus_fruit', 3, 600], ['oak', 3, 319], ['non_oak', 2, 200]];2008
25442475;25442475;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Gris Premier Cru 2014;Images_saved\img_36.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 7, 1100], ['citrus_fruit', 4, 400], ['earth', 3, 300], ['tropical_fruit', 3, 400], ['red_fruit', 2, 200], ['microbio', 2, 66], ['non_oak', 2, 76], ['oak', 2, 252], ['dried_fruit', 1, 100], ['spices', 1, 6], ['floral', 1, 100]];2014
145995804;145995804;Desom Crémant de Luxembourg Brut Millésimie 2016;Images_saved\img_37.jpg;3;Crémant de Luxembourg;Luxembourg;Desom;[['microbio', 11, 1066], ['tree_fruit', 7, 700], ['non_oak', 5, 384], ['citrus_fruit', 2, 200], ['earth', 2, 300], ['oak', 2, 150], ['vegetal', 1, 100], ['tropical_fruit', 1, 100]];2016
147931129;147931129;Domaine Clos des Rochers Grevenmacher Fels Riesling Grand Permier Cru 2014;Images_saved\img_38.jpg;2;Moselle;Luxembourg;Domaine Clos des Rochers;[['citrus_fruit', 12, 1400], ['tropical_fruit', 10, 1400], ['earth', 10, 1370], ['tree_fruit', 7, 700], ['floral', 4, 500], ['spices', 3, 430], ['vegetal', 2, 200], ['dried_fruit', 1, 100], ['oak', 1, 100]];2014
34027278;34027278;Coteaux de Schengen Riesling 2014;Images_saved\img_39.jpg;2;Coteaux de Schengen;Luxembourg;Coteaux de Schengen;[['tree_fruit', 3, 500], ['citrus_fruit', 3, 400], ['earth', 3, 400], ['microbio', 3, 166], ['oak', 2, 234], ['vegetal', 1, 100], ['dried_fruit', 1, 100]];2014
